Target,Simulation,Model,Exceedance_Budget_reduction_GtCO2_mean,Exceedance_Budget_reduction_GtCO2_sd
1.5,a,JSBACH,35.990109204736086,22.34470587601664
1.5,b,JSBACH,50.7929461713938,31.037756862231777
1.5,c,JSBACH,63.046841080782485,37.04923277156777
1.5,d,JSBACH,69.3154087472673,40.43507287701131
2,a,JSBACH,94.27234600652632,42.83037908884887
2,b,JSBACH,133.27392653489125,63.25562201315927
2,c,JSBACH,165.8215768919229,73.94303454728318
2,d,JSBACH,185.3586689142475,86.83085357601726
1.5,a,JULES-DeepResp,13.834523078403826,12.37562927393654
1.5,b,JULES-DeepResp,28.56685534852621,21.771209578986557
1.5,c,JULES-DeepResp,41.53044696634593,28.75804281448151
1.5,d,JULES-DeepResp,44.41495742811429,30.84823586038307
2,a,JULES-DeepResp,42.23954749214816,29.34335407202623
2,b,JULES-DeepResp,80.52332972027443,49.176836086204574
2,c,JULES-DeepResp,115.49643521116523,66.31328218759619
2,d,JULES-DeepResp,123.99266640547944,68.41641375914989
1.5,a,JULES-SuppressResp,3.39715179898207,3.1881994524592225
1.5,b,JULES-SuppressResp,18.98776568854527,15.269059978144064
1.5,c,JULES-SuppressResp,31.4740823853182,21.67000006446461
1.5,d,JULES-SuppressResp,35.17475932464561,24.97738951683448
2,a,JULES-SuppressResp,10.371762466398163,8.239047020188266
2,b,JULES-SuppressResp,50.10218752402607,32.486684475965156
2,c,JULES-SuppressResp,84.85252988629246,52.199261192722474
2,d,JULES-SuppressResp,96.2929189529294,60.838936154830265
1.5,a,ORCHIDEE,8.26251004899901,9.35048368246852
1.5,b,ORCHIDEE,23.246626350793164,19.629690962201593
1.5,c,ORCHIDEE,36.77265525631616,26.873647551755944
1.5,d,ORCHIDEE,38.95328433513461,27.90228794350901
2,a,ORCHIDEE,28.637495407482614,23.1399361225472
2,b,ORCHIDEE,67.7327183626685,44.64847572660436
2,c,ORCHIDEE,103.1843289489919,61.42176315766186
2,d,ORCHIDEE,111.0545743583177,64.53286486246756
1.5,a,Multi-model mean,15.371073532780246,18.516548931203967
1.5,b,Multi-model mean,30.398548389814614,25.77032881259709
1.5,c,Multi-model mean,43.2060064221907,31.491843306169415
1.5,d,Multi-model mean,46.96460245879045,34.27191738347457
2,a,Multi-model mean,43.88028784313882,42.41470231431846
2,b,Multi-model mean,82.90804053546505,57.70058424684017
2,c,Multi-model mean,117.33871773459312,70.66134086399204
2,d,Multi-model mean,129.1747071577435,78.54825255446723
